date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:59	366820/366820	---M--	200	added ('OK')	image/png	etag:W/%22598e4-1858725d52e%22	https://valtracker.gg/img/Jett.png	C:/Meine%20Webseiten/dasga/valtracker.gg/img/Jett.png	(from https://valtracker.gg/)
18:15:59	949549/949549	---M--	200	added ('OK')	image/png	etag:W/%22e7d2d-1858725d7a2%22	https://valtracker.gg/img/Ascent.png	C:/Meine%20Webseiten/dasga/valtracker.gg/img/Ascent.png	(from https://valtracker.gg/)
18:15:59	1167881/1167881	---M--	200	added ('OK')	image/png	etag:W/%2211d209-1858725d8a6%22	https://valtracker.gg/img/reaver-bundle.png	C:/Meine%20Webseiten/dasga/valtracker.gg/img/reaver-bundle.png	(from https://valtracker.gg/)
18:15:59	5138/5138	---M--	200	added ('OK')	image/webp	etag:W/%221412-1858725d356%22	https://valtracker.gg/img/rgx-content-tier.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/rgx-content-tier.webp	(from https://valtracker.gg/)
18:16:00	23016/23016	---M--	200	added ('OK')	image/webp	etag:W/%2259e8-1858725d366%22	https://valtracker.gg/img/valorant-rgx-vandal.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/valorant-rgx-vandal.webp	(from https://valtracker.gg/)
18:16:00	1520/1520	---M--	200	added ('OK')	image/webp	etag:W/%225f0-1858725d4b6%22	https://valtracker.gg/img/vp_icon.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/vp_icon.webp	(from https://valtracker.gg/)
18:16:00	546286/546286	---M--	200	added ('OK')	image/webp	etag:W/%22855ee-1858725d6f2%22	https://valtracker.gg/img/valtracker-inventory-blue.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/valtracker-inventory-blue.webp	(from https://valtracker.gg/)
18:16:00	589599/589599	---M--	200	added ('OK')	image/webp	etag:W/%228ff1f-1858725d71e%22	https://valtracker.gg/img/valtracker-inventory-champs.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/valtracker-inventory-champs.webp	(from https://valtracker.gg/)
18:16:01	27107/27107	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:15:59%20GMT	https://valtracker.gg/privacy	C:/Meine%20Webseiten/dasga/valtracker.gg/privacy.html	(from https://valtracker.gg/)
18:16:01	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:15:59%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/)
